"","Rank","Title","Lifetime_Gross","Year"
"1","Rank
            ","Title
            ","Lifetime Gross
            ","Year
            "
"110","109","Guardians of the Galaxy","$773,350,147","2014"
"111","110","The Batman","$770,836,163","2022"
"112","111","Black Panther: Wakanda Forever","$769,920,219","2022"
"113","112","Thor: Love and Thunder","$760,928,081","2022"
"114","113","Fast & Furious Presents: Hobbs & Shaw","$760,732,926","2019"
"115","114","The Da Vinci Code","$760,006,945","2006"
"116","115","Maleficent","$758,411,779","2014"
"117","116","The Amazing Spider-Man","$757,930,663","2012"
"118","117","The Hunger Games: Mockingjay - Part 1","$755,356,711","2014"
"119","118","Shrek Forever After","$752,600,867","2010"
"120","119","Madagascar 3: Europe's Most Wanted","$746,921,274","2012"
"121","120","Suicide Squad","$746,846,894","2016"
"122","121","X-Men: Days of Future Past","$746,045,700","2014"
"123","122","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$745,013,115","2005"
"124","123","Monsters University","$743,559,645","2013"
"125","124","The Matrix Reloaded","$741,847,937","2003"
"126","125","Up","$735,099,102","2009"
"127","126","Ne Zha","$726,264,074","2019"
"128","127","F9: The Fast Saga","$726,229,501","2021"
"129","128","Gravity","$723,192,705","2013"
"130","129","Captain America: The Winter Soldier","$714,421,503","2014"
"131","130","The Twilight Saga: Breaking Dawn - Part 1","$712,205,856","2011"
"132","131","The Twilight Saga: New Moon","$711,025,481","2009"
"133","132","Dawn of the Planet of the Apes","$710,644,566","2014"
"134","133","Transformers","$709,709,780","2007"
"135","134","The Amazing Spider-Man 2","$708,982,323","2014"
"136","135","It","$701,842,551","2017"
"137","136","The Wandering Earth","$699,992,512","2019"
"138","137","The Twilight Saga: Eclipse","$698,509,825","2010"
"139","138","Mission: Impossible - Ghost Protocol","$694,713,380","2011"
"140","139","Mamma Mia!","$694,476,782","2008"
"141","140","The Hunger Games","$694,394,724","2012"
"142","141","Detective Chinatown 3","$686,257,563","2021"
"143","142","Mission: Impossible - Rogue Nation","$682,716,636","2015"
"144","143","Forrest Gump","$678,226,465","1994"
"145","144","Doctor Strange","$677,796,076","2016"
"146","145","The Sixth Sense","$672,806,432","1999"
"147","146","Man of Steel","$668,045,518","2013"
"148","147","Ice Age: The Meltdown","$667,094,506","2006"
"149","148","Kung Fu Panda 2","$665,692,281","2011"
"150","149","Moana","$665,069,139","2016"
"151","150","Justice League","$657,926,987","2017"
"152","151","Big Hero 6","$657,869,686","2014"
"153","152","Fantastic Beasts: The Crimes of Grindelwald","$654,855,901","2018"
"154","153","Pirates of the Caribbean: The Curse of the Black Pearl","$654,264,015","2003"
"155","154","Men in Black 3","$654,213,485","2012"
"156","155","Star Wars: Episode II - Attack of the Clones","$653,779,970","2002"
"157","156","The Hunger Games: Mockingjay - Part 2","$653,428,261","2015"
"158","157","Thor: The Dark World","$644,783,140","2013"
"159","158","Sing","$634,338,384","2016"
"160","159","Kung Fu Panda","$632,083,197","2008"
"161","160","The Incredibles","$631,607,053","2004"
"162","161","The Martian","$630,620,818","2015"
"163","162","Hancock","$629,443,428","2008"
"164","163","Water Gate Bridge","$626,571,697","2022"
"165","164","Fast Five","$626,137,675","2011"
"166","165","Iron Man 2","$623,933,331","2010"
"167","166","Ratatouille","$623,726,085","2007"
"168","167","Ant-Man and the Wasp","$622,674,139","2018"
"169","168","How to Train Your Dragon 2","$621,537,519","2014"
"170","169","Logan","$619,179,950","2017"
"171","170","The Lost World: Jurassic Park","$618,638,999","1997"
"172","171","Casino Royale","$616,504,662","2006"
"173","172","The Passion of the Christ","$612,054,506","2004"
"174","173","Life of Pi","$609,016,565","2012"
"175","174","Transformers: The Last Knight","$605,425,157","2017"
"176","175","Madagascar: Escape 2 Africa","$603,900,354","2008"
"177","176","War of the Worlds","$603,873,119","2005"
"178","177","Tangled","$592,462,816","2010"
"179","178","Quantum of Solace","$589,580,482","2008"
"180","179","Men in Black","$589,390,539","1997"
"181","180","The Croods","$587,235,983","2013"
"182","181","The Hangover Part II","$586,764,305","2011"
"183","182","Iron Man","$585,796,247","2008"
"184","183","I Am Legend","$585,410,052","2007"
"185","184","Ready Player One","$582,918,849","2018"
"186","185","Monsters, Inc.","$579,707,738","2001"
"187","186","Operation Red Sea","$579,330,426","2018"
"188","187","Night at the Museum","$574,481,229","2006"
"189","188","Fifty Shades of Grey","$569,651,467","2015"
"190","189","Kong: Skull Island","$566,652,812","2017"
"191","190","The Smurfs","$563,749,323","2011"
"192","191","Cars 2","$559,852,396","2011"
"193","192","King Kong","$556,906,378","2005"
"194","193","Puss in Boots","$554,987,477","2011"
"195","194","The Mermaid","$553,810,228","2016"
"196","195","Armageddon","$553,709,788","1998"
"197","196","The Day After Tomorrow","$552,639,571","2004"
"198","197","Ted","$549,368,315","2012"
"199","198","American Sniper","$547,459,020","2014"
"200","199","Mission: Impossible II","$546,388,108","2000"
"201","200","Detective Chinatown 2","$544,185,156","2018"
